municipio,target,epi_year,epi_week,familia,prob_alerta_proxima_janela,limiar_operacional,acima_limiar,faixa_predita,drivers,tipo_sinal,acao_sugerida,metodo,modelo_versao,risco_composto,positividade,tests,banda_absoluta,percentil_estadual,banda_percentil,banda_risco,criterio_banda,legenda_banda
SAO FELIX DO ARAGUAIA,hepatite_b_hbv,2026,28,hepatite,0.2829,0.6,False,moderado,cnes_estabelecimentos=710 (imp=0.00855); cnes_leitos_total=764 (imp=0.00207); cnes_equipes_esf=96 (imp=0.0122); positividade_ma8=0.875 (imp=0.617); tests_ma8=1.25 (imp=0.174),predito,Acompanhar tendência semanal e reforçar coleta se houver sintoma clínico.,sklearn_gb_v2_familia,sklearn_v2,0.3873,1.0,1,Moderado,81.4,Alto,Alto,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
AGUA BOA,chikungunya,2025,38,arbovirose,0.2793,0.25,True,moderado,cnes_estabelecimentos=2.22e+03 (imp=0.0105); cnes_equipes_esf=316 (imp=0.00844); tests_ma8=2.38 (imp=0.47); n_eventos_climaticos=7 (imp=0.0221); tests=2 (imp=0.0116),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,2,Alto,97.2,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
ARAGUAIANA,hepatite_b_hbv,2026,29,hepatite,0.2763,0.6,False,moderado,cnes_estabelecimentos=261 (imp=0.00855); cnes_leitos_total=229 (imp=0.00207); positividade_ma8=0.75 (imp=0.617); cnes_equipes_esf=24 (imp=0.0122); tests_ma8=1 (imp=0.174),predito,Acompanhar tendência semanal e reforçar coleta se houver sintoma clínico.,sklearn_gb_v2_familia,sklearn_v2,0.1155,1.0,1,Moderado,81.2,Alto,Alto,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
MATUPA,zika,2026,16,arbovirose,0.275,0.25,True,moderado,cnes_estabelecimentos=1.2e+03 (imp=0.0105); tests_ma8=2.86 (imp=0.47); cnes_equipes_esf=144 (imp=0.00844); risco_composto=0.387 (imp=0.174); tests=4 (imp=0.0116),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.3866,0.25,4,Alto,97.2,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
CONQUISTA D''OESTE,dengue,2026,30,arbovirose,0.2748,0.25,True,moderado,tests_ma8=2.12 (imp=0.47); risco_composto=0.337 (imp=0.174); tests=4 (imp=0.0116); positividade_ma8=0.312 (imp=0.0612); positividade_trend=-0.188 (imp=0.0798),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.3372,0.0,4,Alto,97.1,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
PRIMAVERA DO LESTE,zika,2026,28,arbovirose,0.2735,0.25,True,moderado,cnes_estabelecimentos=5.58e+03 (imp=0.0105); cnes_equipes_esf=408 (imp=0.00844); tests_ma8=2.12 (imp=0.47); tests=4 (imp=0.0116); risco_composto=0.0933 (imp=0.174),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.0933,0.25,4,Alto,97.0,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
PRIMAVERA DO LESTE,tuberculose,2026,30,tuberculose,0.2699,0.2,True,moderado,cnes_estabelecimentos=5.58e+03 (imp=0.0238); cnes_equipes_esf=408 (imp=0.176); tests_ma8=8 (imp=0.0896); tests=2 (imp=0.324); confianca_dado=1 (imp=0.0165),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,2,Alto,97.7,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
CAMPOS DE JULIO,dengue,2026,8,arbovirose,0.2679,0.25,True,moderado,cnes_estabelecimentos=805 (imp=0.0105); tests_ma8=2.12 (imp=0.47); cnes_equipes_esf=72 (imp=0.00844); positividade_ma8=0.333 (imp=0.0612); positividade_trend=-0.167 (imp=0.0798),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Alto,97.0,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
PARANAITA,dengue,2026,30,arbovirose,0.2673,0.25,True,moderado,tests_ma8=20 (imp=0.47); cnes_estabelecimentos=636 (imp=0.0105); cnes_equipes_esf=115 (imp=0.00844); tests=67 (imp=0.0116); risco_composto=0.784 (imp=0.174),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.7845,0.0,67,Alto,96.9,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
QUERENCIA,chikungunya,2025,39,arbovirose,0.2665,0.25,True,moderado,cnes_estabelecimentos=1.52e+03 (imp=0.0105); cnes_equipes_esf=167 (imp=0.00844); tests_ma8=2 (imp=0.47); n_eventos_climaticos=7 (imp=0.0221); positividade_ma8=0.354 (imp=0.0612),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Alto,96.8,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
PONTES E LACERDA,zika,2026,28,arbovirose,0.2636,0.25,True,moderado,cnes_estabelecimentos=2.85e+03 (imp=0.0105); cnes_equipes_esf=288 (imp=0.00844); tests_ma8=3.38 (imp=0.47); tests=2 (imp=0.0116); confianca_dado=1 (imp=0.015),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,2,Alto,96.8,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
SINOP,dengue,2026,30,arbovirose,0.2624,0.25,True,moderado,cnes_estabelecimentos=1.76e+04 (imp=0.0105); cnes_equipes_esf=879 (imp=0.00844); tests_ma8=8 (imp=0.47); tests=29 (imp=0.0116); risco_composto=0.776 (imp=0.174),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.7757,0.0,29,Alto,96.7,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
SAO JOSE DO RIO CLARO,zika,2026,16,arbovirose,0.2613,0.25,True,moderado,cnes_estabelecimentos=960 (imp=0.0105); cnes_equipes_esf=144 (imp=0.00844); tests_ma8=2 (imp=0.47); risco_composto=0.395 (imp=0.174); notificacoes=3 (imp=0.00811),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.3946,0.5,2,Alto,96.6,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
SAO JOSE DO XINGU,hepatite_b_hbv,2025,44,hepatite,0.259,0.6,False,moderado,cnes_estabelecimentos=240 (imp=0.00855); cnes_equipes_esf=48 (imp=0.0122); incidencia_100k=16 (imp=0.0325); tests_ma8=1 (imp=0.174); positividade_ma8=0.2 (imp=0.617),predito,Acompanhar tendência semanal e reforçar coleta se houver sintoma clínico.,sklearn_gb_v2_familia,sklearn_v2,0.644,1.0,1,Moderado,80.9,Alto,Alto,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
JUINA,dengue,2026,30,arbovirose,0.2581,0.25,True,moderado,cnes_estabelecimentos=2.65e+03 (imp=0.0105); cnes_equipes_esf=288 (imp=0.00844); tests_ma8=3.75 (imp=0.47); risco_composto=1.25 (imp=0.174); tests=10 (imp=0.0116),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,1.25,0.0,10,Alto,96.6,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
JURUENA,dengue,2026,12,arbovirose,0.2553,0.25,True,moderado,cnes_estabelecimentos=722 (imp=0.0105); tests_ma8=3.5 (imp=0.47); cnes_equipes_esf=72 (imp=0.00844); risco_composto=1 (imp=0.174); positividade=1 (imp=0.0247),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,1.0016,1.0,1,Alto,96.5,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
ALTO ARAGUAIA,hepatite_b_hbv,2026,30,hepatite,0.2539,0.6,False,moderado,cnes_estabelecimentos=1.04e+03 (imp=0.00855); cnes_leitos_total=2.39e+03 (imp=0.00207); cnes_equipes_esf=167 (imp=0.0122); positividade_ma8=0.625 (imp=0.617); tests_ma8=1.12 (imp=0.174),predito,Acompanhar tendência semanal e reforçar coleta se houver sintoma clínico.,sklearn_gb_v2_familia,sklearn_v2,0.216,1.0,1,Moderado,80.7,Alto,Alto,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
PORTO ESPERIDIAO,zika,2026,15,arbovirose,0.2535,0.25,True,moderado,cnes_estabelecimentos=400 (imp=0.0105); tests_ma8=2.71 (imp=0.47); cnes_equipes_esf=120 (imp=0.00844); tests=6 (imp=0.0116); risco_composto=0.329 (imp=0.174),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.3288,0.3333333333333333,6,Alto,96.4,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
FELIZ NATAL,chikungunya,2026,5,arbovirose,0.2533,0.25,True,moderado,cnes_estabelecimentos=524 (imp=0.0105); tests_ma8=4.38 (imp=0.47); cnes_equipes_esf=72 (imp=0.00844); tests_trend=-2.12 (imp=0.0162); tests=2 (imp=0.0116),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,2,Alto,96.4,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
TERRA NOVA DO NORTE,dengue,2026,12,arbovirose,0.2518,0.25,True,moderado,cnes_estabelecimentos=480 (imp=0.0105); tests_ma8=7.12 (imp=0.47); cnes_equipes_esf=96 (imp=0.00844); tests_trend=-4.38 (imp=0.0162); confianca_dado=0.825 (imp=0.015),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Alto,96.3,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
CAMPO VERDE,sarampo_sarampo_igm,2026,17,outros,0.2512,0.2,True,moderado,cnes_leitos_total=1.87e+03 (imp=0.0448); cnes_estabelecimentos=2.51e+03 (imp=0.0222); cnes_equipes_esf=336 (imp=0.0431); tests_ma8=1.38 (imp=0.0755); indice_vulnerabilidade=-0.925 (imp=0.0582),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Alto,99.2,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
CAMPO VERDE,sarampo_sarampo_igg,2026,17,outros,0.2512,0.2,True,moderado,cnes_leitos_total=1.87e+03 (imp=0.0448); cnes_estabelecimentos=2.51e+03 (imp=0.0222); cnes_equipes_esf=336 (imp=0.0431); tests_ma8=1.38 (imp=0.0755); indice_vulnerabilidade=-0.925 (imp=0.0582),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Alto,99.2,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
BOA ESPERANCA DO NORTE,dengue,2026,30,arbovirose,0.2486,0.25,False,moderado,tests_ma8=11.8 (imp=0.47); tests=45 (imp=0.0116); risco_composto=1.25 (imp=0.174); tests_trend=4 (imp=0.0162); positividade=0 (imp=0.0247),predito,Acompanhar tendência semanal e reforçar coleta se houver sintoma clínico.,sklearn_gb_v2_familia,sklearn_v2,1.25,0.0,45,Moderado,96.2,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
PORTO DOS GAUCHOS,hepatite_b_hbv,2026,22,hepatite,0.2469,0.6,False,moderado,cnes_estabelecimentos=383 (imp=0.00855); cnes_leitos_total=486 (imp=0.00207); cnes_equipes_esf=82 (imp=0.0122); positividade_ma8=0.571 (imp=0.617); tests_ma8=1.14 (imp=0.174),predito,Acompanhar tendência semanal e reforçar coleta se houver sintoma clínico.,sklearn_gb_v2_familia,sklearn_v2,1.1006,1.0,2,Alto,80.4,Alto,Alto,ambos,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
SINOP,zika,2026,12,arbovirose,0.2454,0.25,False,moderado,cnes_estabelecimentos=1.76e+04 (imp=0.0105); cnes_equipes_esf=879 (imp=0.00844); tests_ma8=2.25 (imp=0.47); tests=2 (imp=0.0116); confianca_dado=1 (imp=0.015),predito,Acompanhar tendência semanal e reforçar coleta se houver sintoma clínico.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,2,Baixo,96.2,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
JACIARA,zika,2025,49,arbovirose,0.2449,0.25,False,moderado,cnes_estabelecimentos=1.68e+03 (imp=0.0105); cnes_equipes_esf=192 (imp=0.00844); tests_ma8=2.2 (imp=0.47); risco_composto=0.169 (imp=0.174); tests=2 (imp=0.0116),predito,Acompanhar tendência semanal e reforçar coleta se houver sintoma clínico.,sklearn_gb_v2_familia,sklearn_v2,0.1686,0.0,2,Baixo,96.1,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
VARZEA GRANDE,zika,2026,30,arbovirose,0.2437,0.25,False,moderado,cnes_estabelecimentos=6.79e+03 (imp=0.0105); cnes_equipes_esf=3.05e+03 (imp=0.00844); tests_ma8=5.88 (imp=0.47); tests_trend=-2.38 (imp=0.0162); cnes_leitos_total=1.51e+04 (imp=0),predito,Acompanhar tendência semanal e reforçar coleta se houver sintoma clínico.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Baixo,96.0,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
JUSCIMEIRA,hepatite_b_hbv,2026,28,hepatite,0.2429,0.6,False,moderado,cnes_estabelecimentos=495 (imp=0.00855); cnes_equipes_esf=119 (imp=0.0122); cnes_leitos_total=360 (imp=0.00207); positividade_ma8=1 (imp=0.617); tests_ma8=1.12 (imp=0.174),predito,Acompanhar tendência semanal e reforçar coleta se houver sintoma clínico.,sklearn_gb_v2_familia,sklearn_v2,0.267,1.0,1,Moderado,80.2,Alto,Alto,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
CURITIBA,tuberculose,2026,16,tuberculose,0.2423,0.2,True,moderado,tests=1 (imp=0.324); tests_ma8=1.5 (imp=0.0896); positividade_ma8=0.25 (imp=0.137); confianca_dado=0.738 (imp=0.0165); positividade_trend=0.25 (imp=0.0435),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Alto,97.6,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
PORTO ESPERIDIAO,hepatite_b_hbv,2026,27,hepatite,0.2422,0.6,False,moderado,cnes_estabelecimentos=400 (imp=0.00855); cnes_equipes_esf=120 (imp=0.0122); tests_ma8=1.75 (imp=0.174); positividade_ma8=0.396 (imp=0.617); cnes_leitos_total=96 (imp=0.00207),predito,Acompanhar tendência semanal e reforçar coleta se houver sintoma clínico.,sklearn_gb_v2_familia,sklearn_v2,0.0547,0.0,1,Baixo,80.0,Alto,Alto,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
NOVA MUTUM,hepatite_b_hbv,2026,29,hepatite,0.242,0.6,False,moderado,cnes_estabelecimentos=5.27e+03 (imp=0.00855); cnes_leitos_total=5.2e+03 (imp=0.00207); cnes_equipes_esf=325 (imp=0.0122); tests_ma8=6 (imp=0.174); positividade_ma8=0.106 (imp=0.617),predito,Acompanhar tendência semanal e reforçar coleta se houver sintoma clínico.,sklearn_gb_v2_familia,sklearn_v2,0.8471,0.2631578947368421,19,Moderado,79.7,Alto,Alto,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
VARZEA GRANDE,sarampo_rub_ola_igm,2026,22,outros,0.2393,0.2,True,moderado,cnes_leitos_total=1.51e+04 (imp=0.0448); cnes_estabelecimentos=6.79e+03 (imp=0.0222); cnes_equipes_esf=3.05e+03 (imp=0.0431); tests_ma8=2.88 (imp=0.0755); tests_trend=-0.625 (imp=0.0694),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Alto,99.2,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
NOVA MUTUM,hepatite_c_hcv,2026,23,hepatite,0.2373,0.6,False,moderado,cnes_estabelecimentos=5.27e+03 (imp=0.00855); cnes_leitos_total=5.2e+03 (imp=0.00207); cnes_equipes_esf=325 (imp=0.0122); tests_ma8=1.12 (imp=0.174); positividade_ma8=0.125 (imp=0.617),predito,Acompanhar tendência semanal e reforçar coleta se houver sintoma clínico.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Baixo,79.5,Alto,Alto,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
SALTO DO CEU,dengue,2026,15,arbovirose,0.2359,0.25,False,moderado,cnes_estabelecimentos=298 (imp=0.0105); tests_ma8=4.5 (imp=0.47); cnes_equipes_esf=48 (imp=0.00844); tests_trend=-1.5 (imp=0.0162); tests=1 (imp=0.0116),predito,Acompanhar tendência semanal e reforçar coleta se houver sintoma clínico.,sklearn_gb_v2_familia,sklearn_v2,0.0302,0.0,1,Baixo,96.0,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
ARIPUANA,chikungunya,2025,37,arbovirose,0.2349,0.25,False,moderado,cnes_estabelecimentos=1.05e+03 (imp=0.0105); cnes_equipes_esf=144 (imp=0.00844); tests_ma8=2.12 (imp=0.47); incidencia_100k=7.53 (imp=0.0684); risco_composto=1.24 (imp=0.174),predito,Acompanhar tendência semanal e reforçar coleta se houver sintoma clínico.,sklearn_gb_v2_familia,sklearn_v2,1.2378,1.0,2,Alto,95.9,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
CAMPO NOVO DO PARECIS,zika,2026,29,arbovirose,0.2325,0.25,False,moderado,cnes_estabelecimentos=2.99e+03 (imp=0.0105); tests_ma8=5.75 (imp=0.47); cnes_equipes_esf=261 (imp=0.00844); tests=4 (imp=0.0116); risco_composto=0.13 (imp=0.174),predito,Acompanhar tendência semanal e reforçar coleta se houver sintoma clínico.,sklearn_gb_v2_familia,sklearn_v2,0.1297,0.25,4,Moderado,95.8,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
IPIRANGA DO NORTE,hepatite_b_hbv,2026,19,hepatite,0.2288,0.6,False,moderado,cnes_estabelecimentos=448 (imp=0.00855); cnes_equipes_esf=72 (imp=0.0122); tests_ma8=1.25 (imp=0.174); positividade_ma8=0.125 (imp=0.617); indice_vulnerabilidade=-0.611 (imp=0.0453),predito,Acompanhar tendência semanal e reforçar coleta se houver sintoma clínico.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,1,Baixo,79.2,Alto,Alto,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
ALTO BOA VISTA,hepatite_c_hcv,2026,11,hepatite,0.2284,0.6,False,moderado,positividade=0 (imp=0.0268); positividade_trend=nan (imp=0.00524); indice_vulnerabilidade=1.98 (imp=0.0453); risco_composto=0.198 (imp=0.014); tests=1 (imp=0.00267),predito,Acompanhar tendência semanal e reforçar coleta se houver sintoma clínico.,sklearn_gb_v2_familia,sklearn_v2,0.1979,0.0,1,Baixo,79.0,Alto,Alto,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
CONFRESA,dengue,2026,29,arbovirose,0.2274,0.25,False,moderado,cnes_estabelecimentos=1.88e+03 (imp=0.0105); cnes_equipes_esf=216 (imp=0.00844); tests_ma8=1.88 (imp=0.47); confianca_dado=0.956 (imp=0.015); tests=1 (imp=0.0116),predito,Acompanhar tendência semanal e reforçar coleta se houver sintoma clínico.,sklearn_gb_v2_familia,sklearn_v2,0.0477,0.0,1,Baixo,95.8,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
NOVA GUARITA,hepatite_b_hbv,2026,23,hepatite,0.2272,0.6,False,moderado,cnes_estabelecimentos=209 (imp=0.00855); positividade_ma8=1 (imp=0.617); cnes_equipes_esf=48 (imp=0.0122); tests_ma8=1.12 (imp=0.174); positividade=1 (imp=0.0268),predito,Acompanhar tendência semanal e reforçar coleta se houver sintoma clínico.,sklearn_gb_v2_familia,sklearn_v2,0.214,1.0,1,Moderado,78.7,Alto,Alto,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
ACORIZAL,zika,2025,42,arbovirose,0.2261,0.25,False,moderado,cnes_estabelecimentos=250 (imp=0.0105); incidencia_100k=20.2 (imp=0.0684); tests_ma8=1.5 (imp=0.47); cnes_equipes_esf=48 (imp=0.00844); risco_composto=1.14 (imp=0.174),predito,Acompanhar tendência semanal e reforçar coleta se houver sintoma clínico.,sklearn_gb_v2_familia,sklearn_v2,1.1447,0.5,2,Alto,95.7,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
JUINA,tuberculose,2026,29,tuberculose,0.226,0.2,True,moderado,cnes_estabelecimentos=2.65e+03 (imp=0.0238); cnes_equipes_esf=288 (imp=0.176); tests=4 (imp=0.324); tests_ma8=4.75 (imp=0.0896); tests_trend=1 (imp=0.0291),predito,Priorizar monitoramento ativo e articulação com vigilância municipal.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,4,Alto,97.4,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
ARIPUANA,zika,2025,33,arbovirose,0.2249,0.25,False,moderado,positividade=0.333 (imp=0.0247); positividade_trend=nan (imp=0.0798); cnes_estabelecimentos=1.05e+03 (imp=0.0105); cnes_equipes_esf=144 (imp=0.00844); incidencia_100k=7.53 (imp=0.0684),predito,Acompanhar tendência semanal e reforçar coleta se houver sintoma clínico.,sklearn_gb_v2_familia,sklearn_v2,1.1506,0.3333333333333333,6,Moderado,95.6,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
MARCELANDIA,dengue,2026,30,arbovirose,0.2244,0.25,False,moderado,cnes_estabelecimentos=466 (imp=0.0105); tests_ma8=8.38 (imp=0.47); cnes_equipes_esf=96 (imp=0.00844); tests=9 (imp=0.0116); risco_composto=0.288 (imp=0.174),predito,Acompanhar tendência semanal e reforçar coleta se houver sintoma clínico.,sklearn_gb_v2_familia,sklearn_v2,0.2879,0.0,9,Baixo,95.6,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
SAO JOSE DOS QUATRO MARCOS,dengue,2026,29,arbovirose,0.2236,0.25,False,moderado,cnes_estabelecimentos=987 (imp=0.0105); tests_ma8=4.62 (imp=0.47); cnes_equipes_esf=120 (imp=0.00844); tests_trend=2.38 (imp=0.0162); tests=3 (imp=0.0116),predito,Acompanhar tendência semanal e reforçar coleta se houver sintoma clínico.,sklearn_gb_v2_familia,sklearn_v2,0.0,0.0,3,Baixo,95.5,Crítico,Crítico,percentil,Bandas combinam severidade absoluta (risco composto / positividade / limiar ML) e percentil estadual da probabilidade predita na família do agravo. A banda final é o maior entre absoluto e percentil.
